"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR419","ALS.SQ.1.6","Died after exposure","ALS4","Sequential",2021-07-11,"1hr","Naive",2021-07-17,2,NA,24,2268.436,2890.74,2711.88,"Pos",2623.685333,NA,NA,NA,NA,NA,2623.685333,1,3.41907724437694,2624.685333,"ALS.1.6","ALS","Pos","1"
"MR418","AHS.SQ.1.5","Died after exposure","AHS7","Sequential",2021-07-11,"1hr","Naive",2021-07-17,2,NA,25,673.465,720.112,701.009,"Pos",698.195333,NA,NA,NA,NA,NA,698.195333,1,2.84459852080039,699.195333,"AHS.1.5","AHS","Pos","1"
"MR417","AHS.SQ.1.4","Died after exposure","AHS5","Sequential",2021-07-11,"1hr","Naive",2021-07-17,2,NA,30,172969.75,144284.7813,154772.5,"Pos",157342.3438,NA,NA,NA,NA,NA,157342.3438,1,5.19684837538985,157343.3438,"AHS.1.4","AHS","Pos","1"
"MR416","ELS.SQ.24.4","Died after exposure","ELS4","Sequential",2021-07-12,"24hr","Naive",2021-07-17,2,"Died in post exposure container",398,11562948,12299374,10441937,"Pos",11434753,NA,NA,NA,NA,NA,11434753,24,7.05822682590895,11434754,"ELS.24.4","ELS","Pos","1"
"MR415","ELS.SH.48.5","Died after exposure","ELS10","Shared",2021-07-11,"48hr","Naive",2021-07-17,2,"Died day before it was supposed to be euthanized. Was mistakenly put in as 24 hr exposure duration, but I fixed it.",21,50240852,47826412,40388284,"Pos",46151849.33,NA,NA,NA,NA,NA,46151849.33,48,7.66418911753961,46151850.33,"ELS.48.5","ELS","Pos","1"
"MR414","EHS.SH.24.7","Died after exposure","EHS7","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,"Died on the day it was supposed to be euthanized",399,119808,229376.306,178993.018,"Pos",176059.108,NA,NA,NA,NA,NA,176059.108,24,5.24566096392824,176060.108,"EHS.24.7","EHS","Pos","1"
"MR413","ELS.SH.24.7","Died after exposure","ELS3","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,"Died in post exposure container the day it was supposed to be euthanized",29,910.0234375,761.9455566,1091.327759,"Pos",921.0989176,NA,NA,NA,NA,NA,921.0989176,24,2.96477751222884,922.0989176,"ELS.24.7","ELS","Pos","1"
"MR412","ELS.SQ.24.7","Died after exposure","ELS4","Sequential",2021-07-12,"24hr","Naive",2021-07-16,2,"Died in post exposure container",53,114316224,92325056,99439488,"Pos",102026922.7,NA,NA,NA,NA,NA,102026922.7,24,8.00871479206985,102026923.7,"ELS.24.7","ELS","Pos","1"
"MR411","EHS.SQ.1.5","Died during exposure","EHS3","Sequential",2021-07-11,"1hr","Naive",2021-07-13,2,NA,12,116.240448,99.991539,111.0293427,"Pos",109.0871099,NA,NA,NA,NA,NA,109.0871099,1,2.04173647040655,110.0871099,"EHS.1.5","EHS","Pos","1"
"MR196","AHS.SQ.48.3","Died after exposure","AHS2","Sequential",2021-06-29,"48hr","Naive",2021-07-04,1,NA,400,3850194,3706621.843,3677402,"Pos",3744739.281,NA,NA,NA,NA,NA,3744739.281,48,6.57342170229185,3744740.281,"AHS.48.3","AHS","Pos","1"
